GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Produtos Microservice,com.example.produtos.dto,EstoqueDTO,81,0,14,0,6,0,15,0,8,0
Produtos Microservice,com.example.produtos.dto,ProdutoDTO,164,31,38,0,0,5,23,9,4,9
Produtos Microservice,com.example.produtos.dto,VendaDTO,75,0,14,0,2,0,14,0,7,0
Produtos Microservice,com.example.produtos.dto,CategoriaDTO,115,0,22,0,3,0,20,0,9,0
Produtos Microservice,com.example.produtos.dto,VendaDTO.ItemVendaDTO,115,0,22,0,3,0,20,0,9,0
Produtos Microservice,com.example.produtos.dto,PedidoDTO,115,0,22,0,3,0,20,0,9,0
Produtos Microservice,com.example.produtos.controller,ProdutoControllerTest,3,0,0,0,1,0,1,0,1,0
Produtos Microservice,com.example.produtos.controller,VendaController,20,3,0,0,3,1,3,1,3,1
Produtos Microservice,com.example.produtos.controller,ProdutoController,19,18,0,0,4,3,3,3,3,3
Produtos Microservice,com.example.produtos.controller,CategoriaController,34,3,0,0,6,1,5,1,5,1
Produtos Microservice,com.example.produtos.controller,EstoqueController,18,3,0,0,3,1,3,1,3,1
Produtos Microservice,com.example.produtos.controller,PedidoController,11,3,0,0,2,1,2,1,2,1
Produtos Microservice,com.example.produtos.exception,GlobalExceptionHandler,3,0,0,0,1,0,1,0,1,0
Produtos Microservice,com.example.produtos.model,Estoque,152,3,30,0,3,1,25,1,10,1
Produtos Microservice,com.example.produtos.model,Categoria,152,3,30,0,3,1,25,1,10,1
Produtos Microservice,com.example.produtos.model,Pedido,232,3,46,0,5,1,37,1,14,1
Produtos Microservice,com.example.produtos.model,Venda,192,3,38,0,4,1,31,1,12,1
Produtos Microservice,com.example.produtos.model,Produto,197,38,46,0,0,6,27,11,4,11
Produtos Microservice,com.example.produtos.service,EstoqueService,46,3,2,0,10,1,5,1,4,1
Produtos Microservice,com.example.produtos.service,ProdutoService,41,42,2,0,10,9,4,4,3,4
Produtos Microservice,com.example.produtos.service,CategoriaService,68,3,2,0,15,1,7,1,6,1
Produtos Microservice,com.example.produtos.service,ProdutoServiceTest,3,0,0,0,1,0,1,0,1,0
Produtos Microservice,com.example.produtos.service,VendaService,143,3,4,0,27,1,7,1,5,1
Produtos Microservice,com.example.produtos.service,PedidoService,17,3,0,0,3,1,3,1,3,1
Produtos Microservice,com.example.produtos,ProdutosMicroserviceApplication,5,3,0,0,2,1,1,1,1,1
Produtos Microservice,com.example.produtos.config,SwaggerConfig,0,17,0,0,0,6,0,2,0,2
Produtos Microservice,com.example.produtos.config,WebConfig,0,47,0,0,0,7,0,2,0,2
Produtos Microservice,com.example.produtos.config,SecurityConfig,0,90,0,0,0,24,0,5,0,5
